abatacepte,250 mg,pó para solução injetável
abatacepte,125 mg/mL,solução injetável
acetato de ciproterona,50 mg,comprimido
acetato de desmopressina,"0,1 mg/mL","solução nasal (frasco com 2,5 mL)"
acetato de desmopressina,"0,1 mg",comprimido
acetato de desmopressina,"0,2 mg",comprimido
acetato de fludrocortisona,"0,1 mg",comprimido
acetato de glatirâmer,20 mg,solução injetável
acetato de glatirâmer,40 mg,solução injetável
acetato de gosserrelina,"3,6 mg",implante subcutâneo
acetato de gosserrelina,"10,8 mg",implante subcutâneo
acetato de lanreotida,60 mg,solução injetável
acetato de lanreotida,90 mg,solução injetável
acetato de lanreotida,120 mg,solução injetável
acetato de leuprorrelina,"3,75 mg",pó para suspensão injetável
acetato de leuprorrelina,"11,25 mg",pó para suspensão injetável
abatacepte,250 mg,pó para solução injetável
abatacepte,125 mg/mL,solução injetável
acetato de ciproterona,50 mg,comprimido
acetato de desmopressina,"0,1 mg/mL","solução nasal (frasco com 2,5 mL)"
acetato de desmopressina,"0,1 mg",comprimido
acetato de desmopressina,"0,2 mg",comprimido
acetato de fludrocortisona,"0,1 mg",comprimido
acetato de glatirâmer,20 mg,solução injetável
acetato de glatirâmer,40 mg,solução injetável
acetato de gosserrelina,"3,6 mg",implante subcutâneo
acetato de gosserrelina,"10,8 mg",implante subcutâneo
acetato de octreotida,10 mg,pó para suspensão injetável
acetato de octreotida,20 mg,pó para suspensão injetável
acetato de octreotida,30 mg,pó para suspensão injetável
acetazolamida,250 mg,comprimido
ácido nicotínico,250 mg,comprimido de liberação prolongada
ácido nicotínico,500 mg,comprimido de liberação prolongada
ácido nicotínico,750 mg,comprimido de liberação prolongada
ácido ursodesoxicólico,50 mg,comprimido
ácido ursodesoxicólico,150 mg,comprimido
ácido ursodesoxicólico,300 mg,comprimido
acitretina,10 mg,cápsula
acitretina,25 mg,cápsula
adalimumabe,40 mg,solução injetável
alfacalcidol,"0,25 mcg",cápsula mole
alfacalcidol,1 mcg,cápsula mole
alfadornase,1 mg/mL,"solução para inalação (ampola com 2,5 mL)"
alfaelosulfase,5 mg,solução injetável
alfaepoetina,1.000 UI,solução injetável
alfaepoetina,2.000 UI,solução injetável
alfaepoetina,3.000 UI,pó para solução injetável
alfaepoetina,3.000 UI,solução injetável
alfaepoetina,4.000 UI,pó para solução injetável
alfaepoetina,4.000 UI,solução injetável
alfaepoetina,10.000 UI,pó para solução injetável
alfaepoetina,10.000 UI,solução injetável
alfainterferona 2b,3.000.000 UI,pó para solução injetável
alfainterferona 2b,5.000.000 UI,pó para solução injetável
alfainterferona 2b,10.000.000 UI,pó para solução injetável
alfapeginterferona 2a,180 mcg,solução injetável
alfapeginterferona 2b,"118,4 mcg (80 mcg/0,5 mL após reconstituição)",pó para solução injetável
alfapeginterferona 2b,"148 mcg (100 mcg/0,5 mL após reconstituição)",pó para solução injetável
alfapeginterferona 2b,"177,6 mcg (120 mcg/0,5 mL após reconstituição)",pó para solução injetável
alfataliglicerase,200 U,pó para solução injetável
alfavelaglicerase,200 U,pó para solução injetável
alfavelaglicerase,400 U,pó para solução injetável
ambrisentana,5 mg,comprimido
ambrisentana,10 mg,comprimido
atorvastatina cálcica,10 mg,comprimido
atorvastatina cálcica,20 mg,comprimido
atorvastatina cálcica,40 mg,comprimido
atorvastatina cálcica,80 mg,comprimido
azatioprina,50 mg,comprimido
betainterferona 1a,22 mcg (6.000.000 UI),comprimido
betainterferona 1a,30 mcg (6.000.000 UI),solução injetável
betainterferona 1a,44 mcg (12.000.000 UI),solução injetável
betainterferona 1b,300 mcg (9.600.000 UI),pó para solução injetável
bezafibrato,200 mg,comprimido
bezafibrato,400 mg,comprimido de liberação prolongada
bimatoprosta,"0,3 mg/mL (0,03%)",solução oftálmica (frasco com 3 mL)
biotina,"2,5 mg",cápsula
bosentana,"62,5 mg",comprimido
bosentana,125 mg,comprimido
brinzolamida,10 mg/mL,suspensão oftálmica (frasco com 5 mL)
brometo de piridostigmina,60 mg,comprimido
bromidrato de fenoterol,100 mcg/dose,solução aerossol (frasco com 200 doses)
bromidrato de galantamina,8 mg,cápsula de liberação prolongada
bromidrato de galantamina,16 mg,cápsula de liberação prolongada
bromidrato de galantamina,24 mg,cápsula de liberação prolongada
budesonida,200 mcg,aerossol bucal
budesonida,200 mcg,cápsula para inalação
budesonida,200 mcg,pó para inalação
budesonida,400 mcg,cápsula para inalação
cabergolina,"0,5 mg",comprimido
calcipotriol,"50 mcg/g (0,005%)",pomada (bisnaga com 30 g)
calcitonina,50 UI,solução injetável
calcitonina,100 UI,solução injetável
calcitonina,200 UI/dose,solução spray nasal (frasco com 2 mL)
calcitriol,1 mcg/mL,solução injetável (ampola com 1 mL)
calcitriol,"0,25 mcg",cápsula mole
certolizumabe pegol,200 mg,solução injetável
ciclofosfamida,50 mg,comprimido
ciclosporina,10 mg,cápsula mole
ciclosporina,25 mg,cápsula mole
ciclosporina,50 mg,cápsula mole
ciclosporina,100 mg,cápsula mole
ciclosporina,50 mg,solução injetável
ciclosporina,100 mg/mL,solução oral (frasco com 50 mL)
ciprofibrato,100 mg,comprimido
citrato de sildenafila,20 mg,comprimido
citrato de sildenafila,25 mg,comprimido
citrato de sildenafila,50 mg,comprimido
clobazam,10 mg,comprimido
clobazam,20 mg,comprimido
clopidogrel,75 mg,comprimido
cloridrato de amantadina,100 mg,comprimido
cloridrato de cinacalcete,30 mg,comprimido
cloridrato de cinacalcete,60 mg,comprimido
cloridrato de donepezila,5 mg,comprimido
cloridrato de donepezila,10 mg,comprimido
cloridrato de dorzolamida,20 mg/mL,solução oftálmica (frasco com 5 mL)
cloridrato de metadona,5 mg,comprimido
cloridrato de metadona,10 mg,comprimido
cloridrato de metadona,10 mg/mL,solução injetável (ampola com 1 mL)
cloridrato de pilocarpina,20 mg/mL (2%),solução oftálmica (frasco com 10 mL)
cloridrato de raloxifeno,60 mg,comprimido
cloridrato de selegilina,5 mg,comprimido
cloridrato de selegilina,10 mg,comprimido
cloridrato de sevelâmer,800 mg,comprimido
cloridrato de triexifenidil,5 mg,comprimido
cloridrato de ziprasidona,40 mg,cápsula
cloridrato de ziprasidona,80 mg,cápsula
clozapina,25 mg,comprimido
clozapina,100 mg,comprimido
complemento alimentar para paciente fenilcetonúrico maior de 1 ano (fórmula de aminoácidos isenta de fenilalanina),N/A,N/A
daclatasvir,30 mg,comprimido
daclatasvir,60 mg,comprimido
danazol,100 mg,cápsula
danazol,200 mg,cápsula
deferasirox,125 mg,comprimido para suspensão
deferasirox,250 mg,comprimido para suspensão
deferasirox,500 mg,comprimido para suspensão
deferiprona,500 mg,comprimido
dextrotartarato de brimonidina,2 mg/mL,solução oftálmica (frasco com 5 mL)
dicloridrato de pramipexol,"0,125 mg",comprimido
dicloridrato de pramipexol,"0,25 mg",comprimido
dicloridrato de pramipexol,1 mg,comprimido
difosfato de cloroquina,150 mg,comprimido
dicloridrato de sapropterina,100 mg,comprimido
eculizumabe,10 mg/ml,solução para diluição para infusão
eltrombopague olamina,25 mg,comprimido
eltrombopague olamina,50 mg,comprimido
enoxaparina sódica,"40 mg/0,4 ml",solução injetável
entacapona,200 mg,comprimido
entecavir,"0,5 mg",comprimido
entecavir,1 mg,comprimido
etanercepte,25 mg,solução injetável
etanercepte,50 mg,solução injetável
etofibrato,500 mg,cápsula
etossuximida,50 mg/mL,xarope (frasco com 120 mL)
everolimo,"0,5 mg",comprimido
everolimo,"0,75 mg",comprimido
everolimo,1 mg,comprimido
fenofibrato,200 mg,cápsula
fenofibrato,250 mg,cápsula de liberação retardada
filgrastim,300 mcg,solução injetável
fingolimode,"0,5 mg",cápsula
fluvastatina,20 mg,cápsula
fluvastatina,40 mg,cápsula
fosfato de codeína,3 mg/mL,solução oral (frasco com 120 mL)
fosfato de codeína,30 mg,comprimido
fosfato de codeína,60 mg,comprimido
fosfato de codeína,30 mg/mL,solução injetável (ampola com 2 mL)
fumarato de dimetila,120 mg,cápsula
fumarato de dimetila,240 mg,cápsula
fumarato de formoterol,12 mcg,cápsula para inalação
fumarato de formoterol,12 mcg,pó para inalação
fumarato de formoterol + budesonida,6 mcg + 200 mcg,cápsula para inalação
fumarato de formoterol + budesonida,6 mcg + 200 mcg,pó para inalação
fumarato de formoterol + budesonida,12 mcg + 400 mcg,cápsula para inalação
fumarato de formoterol + budesonida,12 mcg + 400 mcg,pó para inalação
fumarato de tenofovir desoproxila,300 mg,comprimido
gabapentina,300 mg,cápsula
gabapentina,400 mg,cápsula
galsulfase,5 mg,solução injetável
genfibrozila,600 mg,comprimido
genfibrozila,900 mg,comprimido
golimumabe,50 mg,solução injetável
hemifumarato de quetiapina,25 mg,comprimido
hemifumarato de quetiapina,100 mg,comprimido
hemifumarato de quetiapina,200 mg,comprimido
hemifumarato de quetiapina,300 mg,comprimido
hidróxido de alumínio,230 mg,comprimido
hidróxido de alumínio,300 mg,comprimido
hidróxido de alumínio,"61,5 mg/mL","suspensão oral (frasco com 100 mL, 150 mL ou 240 mL)"
hidroxiureia,500 mg,cápsula
idursulfase,2 mg/mL,solução injetável
iloprosta,10 mcg/mL,solução para nebulização
imiglucerase,200 U,pó para solução injetável
imiglucerase,400 U,pó para solução injetável
imunoglobulina humana,"0,5 g",pó para solução injetável
imunoglobulina humana,"0,5 g",solução injetável
imunoglobulina humana,1 g,pó para solução injetável
imunoglobulina humana,1 g,solução injetável
imunoglobulina humana,"2,5 g",pó para solução injetável
imunoglobulina humana,"2,5 g",solução injetável
imunoglobulina humana,3 g,pó para solução injetável
imunoglobulina humana,3 g,solução injetável
imunoglobulina humana,5 g,pó para solução injetável
imunoglobulina humana,5 g,solução injetável
imunoglobulina humana,6 g,pó para solução injetável
imunoglobulina humana anti-hepatite B,100 UI,solução injetável
imunoglobulina humana anti-hepatite B,500 UI,solução injetável
imunoglobulina humana anti-hepatite B,600 UI,solução injetável
infliximabe,100 mg,pó para solução injetável
insulina análoga de ação prolongada,100 UI/ml,(frasco com 10 mL) solução injetável com sistema de aplicação
insulina análoga de ação rápida,100 UI/ml,solução injetável com sistema de aplicação
isotretinoína,10 mg,cápsula mole
isotretinoína,20 mg,cápsula mole
lamivudina,10 mg/mL,solução oral (frasco de 240 mL)
lamivudina,150 mg,comprimido
lamotrigina,25 mg,comprimido
lamotrigina,50 mg,comprimido
lamotrigina,100 mg,comprimido
laronidase,"0,58 mg/mL",solução injetável
latanoprosta,"0,05 mg/mL","solução oftálmica (frasco com 2,5 mL)"
leflunomida,20 mg,comprimido
levetiracetam,250 mg,comprimido
levetiracetam,750 mg,comprimido
levetiracetam,100 mg/ml,solução oral
lovastatina,10 mg,comprimido
lovastatina,20 mg,comprimido
lovastatina,40 mg,comprimido
maleato de timolol,"5 mg/mL (0,5%)",solução oftálmica (frasco com 5 mL)
memantina,10 mg,comprimido
mesalazina,400 mg,comprimido
mesalazina,500 mg,comprimido de liberação prolongada
mesalazina,800 mg,comprimido
mesalazina,250 mg,supositório retal
mesalazina,500 mg,supositório retal
mesalazina,1.000 mg,supositório retal
mesalazina,10 mg/mL,enema retal (frasco com 100 mL) 
mesalazina,30 mg/mL,enema retal (frasco com 100 mL)
,,
mesilato de bromocriptina,"2,5 mg",comprimido
mesilato de desferroxamina,500 mg,pó para solução injetável
mesilato de rasagilina,1 mg,comprimido
metilprednisolona,500 mg,pó para solução injetável
metotrexato,25 mg/mL,solução injetável (frasco com 2 mL)
metotrexato,"2,5 mg",comprimido
micofenolato de mofetila,500 mg,comprimido
micofenolato de sódio,180 mg,comprimido
micofenolato de sódio,360 mg,comprimido
miglustate,100 mg,cápsula
naproxeno,250 mg,comprimido
naproxeno,500 mg,comprimido
natalizumabe,20 mg/mL,solução injetável
nusinersena,"2,4 mg/ml",solução injetável
octreotida,"0,1 mg/mL",solução injetável
olanzapina,5 mg,comprimido
olanzapina,10 mg,comprimido
olanzapina,30 mg,solução injetável
pamidronato dissódico,60 mg,solução injetável
pancreatina,10.000 UI,cápsula
pancreatina,25.000 UI,cápsula
paricalcitol,5 mcg/mL,solução injetável (ampola com 1 mL)
penicilamina,250 mg,cápsula
pravastatina sódica,10 mg,comprimido
pravastatina sódica,20 mg,comprimido
pravastatina sódica,40 mg,comprimido
primidona,100 mg,comprimido
primidona,250 mg,comprimido
propionato de clobetasol,"0,5 mg/g",creme (bisnaga com 30 g)
propionato de clobetasol,"0,5 mg/g",solução capilar (frasco com 50 g)
ribavirina,250 mg,cápsula
riluzol,50 mg,comprimido
risedronato sódico,5 mg,comprimido
risedronato sódico,35 mg,comprimido
risperidona,1 mg/mL,solução oral (frasco com 30 mL)
risperidona,1 mg,comprimido
risperidona,2 mg,comprimido
risperidona,3 mg,comprimido
rituximabe,10 mg/mL,solução injetável (frasco com 50 mL)
rivastigmina,"1,5 mg",cápsula
rivastigmina,3 mg,cápsula
rivastigmina,"4,5 mg",cápsula
rivastigmina,6 mg,cápsula
rivastigmina,2 mg/mL,solução oral (frasco com 120 mL)
rivastigmina,9 mg,adesivo transdérmico
rivastigmina,18 mg,adesivo transdérmico
sacarato de hidróxido férrico,20 mg/mL,solução injetável (frasco com 5 mL)
secuquinumabe,150 mg/mL,pó para solução injetável
sirolimo,1 mg,comprimido
sirolimo,2 mg,comprimido
sofosbuvir,400 mg,comprimido
somatropina,4 UI,pó para solução injetável (frasco-ampola)
somatropina,12 UI,pó para solução injetável (frasco-ampola)
somatropina,15 UI,pó para solução injetável (frasco-ampola)
somatropina,16 UI,pó para solução injetável (frasco-ampola)
somatropina,18 UI,pó para solução injetável (frasco-ampola)
somatropina,24 UI,pó para solução injetável (frasco-ampola)
somatropina,30 UI,pó para solução injetável (frasco-ampola)
sulfassalazina,500 mg,comprimido
sulfato de hidroxicloroquina,400 mg,comprimido
sulfato de morfina,10 mg/mL,solução injetável (ampola com 1 mL)
sulfato de morfina,10 mg/mL,solução oral (frasco com 60 mL)
sulfato de morfina,10 mg,comprimido
sulfato de morfina,30 mg,comprimido
sulfato de morfina,30 mg,cápsula de liberação prolongada
sulfato de morfina,60 mg,cápsula de liberação prolongada
sulfato de morfina,100 mg,cápsula de liberação prolongada
tacrolimo,1 mg,cápsula
tacrolimo,5 mg,cápsula
teriflunomida,14 mg,comprimido
tafamidis,20 mg,cápsula
tobramicina,300 mg,solução inalatória
tocilizumabe,20 mg/mL,solução injetável (frasco com 4 mL)
tofacitinibe,5 mg,comprimido
tolcapona,100 mg,comprimido
topiramato,25 mg,comprimido
topiramato,50 mg,comprimido
topiramato,100 mg,comprimido
toxina botulínica A,100 U,pó para solução injetável
toxina botulínica A,500 U,pó para solução injetável
travoprosta,"0,04 mg/mL","solução oftálmica (frasco com 2,5 mL)"
trientina,250 mg,cápsula
triptorrelina,"3,75 mg",pó para suspensão injetável
triptorrelina,"11,25 mg",pó para suspensão injetável
ustequinumabe,45 mg,solução injetável
vigabatrina,500 mg,comprimido
xinafoato de salmeterol,50 mcg,aerossol bucal
xinafoato de salmeterol,50 mcg,pó para inalação
